Código,CNPJ
LASC11,30248158000146
LSPA11,31847293000170
LIFE11,39753295000102
LOFT11,
LFTT11,24796967000190
LGCP11,34598181000111
LUGG11,34835191000123
MALL11,26499833000132
MANA11,42888583000189
MMVE11,41251337000159
MCHF11,36642139000186
MXRF11,97521225000125
MFII11,16915968000188
MFAI11,32397369000176
MFCR11,45403337000188
MGRI11,
MATV11,41076678000135
MORE11,34197727000122
MORC11,40102474000169
SHOP11,22459737000100
DRIT11,10456810000100
MOFF11,31508219000120
NCRI11,40041603000156
NAVT11,35652252000180
APTO11,42432327000182
NEWL11,32527626000147
NEWU11,14793782000178
NVIF11,
FTCE11,
OGHY11,47240631000141
OUJP11,26091656000150
PNDL11,37899400000190
PNLN11,40887170000154
PNPR11,26813118000122
PNRC11,
VTVI11,21500514000186
PQAG11,12978943000172
PATC11,30048651000112
PATL11,35754164000199
PEMA11,34736510000143
PRSN11,14056001000162
GLOG11,36501198000134
PORD11,17156502000109
PLRI11,14080689000116
PCAS11,
PRZS11,30258790000170
PRSV11,11281322000172
PBLV11,31962875000106
QAGR11,32754734000152
QAMI11,32400264000129
XBXO11,36814809000102
RSPD11,19249989000108
RBDS11,11945604000127
RBIR11,31161410000148
RBLG11,35652227000104
RRCI11,35689733000160
FIIP11,08696175000197
RBRD11,09006914000134
RBTS11,29299737000139
RBRF11,27529279000151
CCRF11,40011268000143
RCFF11,35689670000141
RBRL11,35705463000133
RBRX11,41088458000121
RPRI11,42502842000191
RMAI11,17374696000119
RINV11,44.625.612/0001-45 
REON11,
RBHG11,30647758000187
RBHY11,37899479000150
RBVO11,15769670000144
RBFF11,17329029000114
RBOP11,13500306000159
RBRS11,36517660000191
RZAK11,36642219000131
RZAT11,28267696000136
RZDM11,
RCKF11,
SADI11,32903521000145
SARE11,32903702000171
SACL11,41833927000190
FISD11,16543270000189
SEQR11,09517273000182
SRVD11,38082796000141
SHSO11,
WPLZ11,09326861000139
CPSH11,47896665000199
SIGR11,40011324000140
REIT11,16841067000199
SJAU11,27771547000147
SOLR11,22169671000113
SPTW11,15538445000105
SPAF11,18311024000127
STRX11,11044355000107
SNFF11,40011225000168
SNLG11,40041711000129
SNCI11,41076710000182
SPMO11,40.225.262/0001-79 
TELD11,36200701000111
TELM11,
TEPP11,26681370000125
TSER11,34847042000184
TJKB11,39714024000148
TORD11,30230870000118
TSNC11,17007443000107
TCPF11,26990011000150
TRXF11,28548288000152
TRXB11,36368925000137
URPR11,34508872000187
VVCO11,15006267000163 
VGIR11,29852732000191
VGIP11,34197811000146
VGHF11,36771692000119
EVBI11,34691520000100
RVBI11,35507457000171
VCJR11,32400250000105
VCRR11,40041723000153
VLJS11,13842683000176
SALI11,36669535000105
VSLH11,36244015000142
VIDS11,32527552000149
VDSV11,
VCRI11,41081374000166
VIUR11,36445587000190
VIFI11,31547855000160
VILG11,24853044000122
VINO11,12516185000170
VISC11,17554274000125
VOTS11,17870926000130
VXXV11,30982974000189
WSEC11,43440579000116
SPDE11,
WHGR11,41256643000188
XPCM11,16802320000103
XPCI11,28516301000191
XPHT11,18308516000163
XPIN11,28516325000140
XPLG11,26502794000185
XPML11,28757546000100
XPPR11,30654849000140
XPSF11,30983020000190
YUFI11,36445551000106
ZAVI11,40575940000123
SNME11,52227760000130
ZIFI11,35820768000196
TMPS11,42737077000199
VVRI11,49184940000177
TRBL11,16671412000193
